,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
139,H100,CUDA Explicit Memory,99334,1,1,1024,2,double,714.236,142.415,1.13932,18666.6
140,H100,CUDA Explicit Memory,106463,1,1,1024,2,double,818.384,133.211,1.06569,17460.3
141,H100,CUDA Explicit Memory,114104,1,1,1024,2,double,818.313,142.785,1.14228,18715.1
142,H100,CUDA Explicit Memory,122294,1,1,1024,2,double,818.267,153.042,1.22433,20059.5
143,H100,CUDA Explicit Memory,131072,1,1,1024,2,double,818.276,164.025,1.3122,21499.1
144,H100,CUDA Explicit Memory,140479,1,1,1024,2,double,1118.92,128.562,1.0285,16850.9
145,H100,CUDA Explicit Memory,150562,1,1,1024,2,double,1118.94,137.787,1.10229,18060.0
146,H100,CUDA Explicit Memory,161368,1,1,1024,2,double,1118.97,147.672,1.18137,19355.6
147,H100,CUDA Explicit Memory,172950,1,1,1024,2,double,1226.52,144.393,1.15515,18925.9
148,H100,CUDA Explicit Memory,185363,1,1,1024,2,double,1226.53,154.755,1.23804,20284.0
149,H100,CUDA Explicit Memory,198668,1,1,1024,2,double,1226.56,165.859,1.32687,21739.5
150,H100,CUDA Explicit Memory,212927,1,1,1024,2,double,1524.15,143.055,1.14444,18750.5
151,H100,CUDA Explicit Memory,228209,1,1,1024,2,double,1524.15,153.322,1.22658,20096.2
152,H100,CUDA Explicit Memory,244589,1,1,1024,2,double,1634.89,153.196,1.22557,20079.8
153,H100,CUDA Explicit Memory,262144,1,1,1024,2,double,1634.88,164.193,1.31354,21521.1
154,H100,CUDA Explicit Memory,280958,1,1,1024,2,double,1931.2,148.975,1.1918,19526.5
155,H100,CUDA Explicit Memory,301124,1,1,1024,2,double,2041.2,151.064,1.20851,19800.2
156,H100,CUDA Explicit Memory,322737,1,1,1024,2,double,2043.02,161.762,1.29409,21202.4
157,H100,CUDA Explicit Memory,345901,1,1,1024,2,double,2334.65,151.715,1.21372,19885.7
158,H100,CUDA Explicit Memory,370727,1,1,1024,2,double,2334.98,162.582,1.30065,21309.9
159,H100,CUDA Explicit Memory,397336,1,1,1024,2,double,2451.31,165.982,1.32785,21755.6
160,H100,CUDA Explicit Memory,425854,1,1,1024,2,double,2740.01,159.151,1.27321,20860.2
161,H100,CUDA Explicit Memory,456419,1,1,1024,2,double,2859.44,163.449,1.30759,21423.6
162,H100,CUDA Explicit Memory,489178,1,1,1024,2,double,3145.5,159.249,1.27399,20873.1
163,H100,CUDA Explicit Memory,524288,1,1,512,2,double,1633.73,164.308,1.31447,21536.2
164,H100,CUDA Explicit Memory,561917,1,1,512,2,double,1775.53,162.037,1.2963,21238.5
165,H100,CUDA Explicit Memory,602248,1,1,512,2,double,1837.74,167.788,1.3423,21992.3
166,H100,CUDA Explicit Memory,645474,1,1,512,2,double,2041.72,161.865,1.29492,21215.9
167,H100,CUDA Explicit Memory,691802,1,1,512,2,double,2181.14,162.393,1.29915,21285.2
168,H100,CUDA Explicit Memory,741455,1,1,512,2,double,2245.71,169.045,1.35236,22157.0
169,H100,CUDA Explicit Memory,794672,1,1,512,2,double,2449.64,166.095,1.32876,21770.4
170,H100,CUDA Explicit Memory,851708,1,1,512,2,double,2653.65,164.33,1.31464,21539.1
171,H100,CUDA Explicit Memory,912838,1,1,512,2,double,2857.21,163.577,1.30862,21440.4
172,H100,CUDA Explicit Memory,978356,1,1,512,2,double,2992.35,167.4,1.3392,21941.4
173,H100,CUDA Explicit Memory,2,1,1,1024,2,float,139.499,0.0146811,5.87245e-05,1.92429
174,H100,CUDA Explicit Memory,3,1,1,1024,2,float,139.516,0.022019,8.80762e-05,2.88608
175,H100,CUDA Explicit Memory,4,1,1,1024,2,float,139.538,0.0293539,0.000117416,3.84748
176,H100,CUDA Explicit Memory,5,1,1,1024,2,float,139.528,0.0366953,0.000146781,4.80972
177,H100,CUDA Explicit Memory,6,1,1,1024,2,float,139.504,0.0440419,0.000176167,5.77265
178,H100,CUDA Explicit Memory,7,1,1,1024,2,float,139.505,0.0513817,0.000205527,6.7347
179,H100,CUDA Explicit Memory,8,1,1,1024,2,float,139.508,0.0587205,0.000234882,7.69662
180,H100,CUDA Explicit Memory,9,1,1,1024,2,float,139.518,0.0660559,0.000264223,8.65807
181,H100,CUDA Explicit Memory,10,1,1,1024,2,float,139.586,0.0733597,0.000293439,9.61541
182,H100,CUDA Explicit Memory,11,1,1,1024,2,float,139.504,0.0807432,0.000322973,10.5832
183,H100,CUDA Explicit Memory,12,1,1,1024,2,float,139.536,0.0880633,0.000352253,11.5426
184,H100,CUDA Explicit Memory,13,1,1,1024,2,float,139.549,0.0953929,0.000381572,12.5033
185,H100,CUDA Explicit Memory,14,1,1,1024,2,float,139.509,0.10276,0.000411041,13.469
186,H100,CUDA Explicit Memory,16,1,1,1024,2,float,139.504,0.117445,0.000469779,15.3937
187,H100,CUDA Explicit Memory,17,1,1,1024,2,float,139.527,0.124764,0.000499056,16.3531
188,H100,CUDA Explicit Memory,18,1,1,1024,2,float,139.488,0.13214,0.000528561,17.3199
189,H100,CUDA Explicit Memory,19,1,1,1024,2,float,139.499,0.139471,0.000557883,18.2807
190,H100,CUDA Explicit Memory,21,1,1,1024,2,float,139.644,0.153991,0.000615965,20.1839
191,H100,CUDA Explicit Memory,22,1,1,1024,2,float,139.53,0.161456,0.000645823,21.1623
192,H100,CUDA Explicit Memory,24,1,1,1024,2,float,139.489,0.176186,0.000704746,23.0931
193,H100,CUDA Explicit Memory,25,1,1,1024,2,float,139.499,0.183514,0.000734058,24.0536
194,H100,CUDA Explicit Memory,27,1,1,1024,2,float,139.513,0.198175,0.000792699,25.9751
195,H100,CUDA Explicit Memory,29,1,1,1024,2,float,139.492,0.212887,0.000851546,27.9035
196,H100,CUDA Explicit Memory,32,1,1,1024,2,float,139.544,0.234822,0.000939289,30.7786
197,H100,CUDA Explicit Memory,34,1,1,1024,2,float,139.532,0.24952,0.000998081,32.7051
198,H100,CUDA Explicit Memory,36,1,1,1024,2,float,139.54,0.264182,0.00105673,34.6269
199,H100,CUDA Explicit Memory,39,1,1,1024,2,float,139.689,0.285892,0.00114357,37.4725
200,H100,CUDA Explicit Memory,42,1,1,1024,2,float,139.498,0.308306,0.00123322,40.4103
201,H100,CUDA Explicit Memory,45,1,1,1024,2,float,139.633,0.330008,0.00132003,43.2548
202,H100,CUDA Explicit Memory,48,1,1,1024,2,float,139.49,0.352369,0.00140947,46.1857
203,H100,CUDA Explicit Memory,51,1,1,1024,2,float,139.567,0.374187,0.00149675,49.0454
204,H100,CUDA Explicit Memory,55,1,1,1024,2,float,139.487,0.403766,0.00161507,52.9225
205,H100,CUDA Explicit Memory,59,1,1,1024,2,float,139.484,0.433139,0.00173255,56.7723
206,H100,CUDA Explicit Memory,64,1,1,1024,2,float,139.502,0.469785,0.00187914,61.5757
207,H100,CUDA Explicit Memory,68,1,1,1024,2,float,139.513,0.499108,0.00199643,65.4191
208,H100,CUDA Explicit Memory,73,1,1,1024,2,float,139.566,0.535603,0.00214241,70.2025
209,H100,CUDA Explicit Memory,78,1,1,1024,2,float,139.496,0.572577,0.00229031,75.0488
210,H100,CUDA Explicit Memory,84,1,1,1024,2,float,139.527,0.616482,0.00246593,80.8035
211,H100,CUDA Explicit Memory,90,1,1,1024,2,float,139.523,0.660538,0.00264215,86.578
212,H100,CUDA Explicit Memory,97,1,1,1024,2,float,139.488,0.71209,0.00284836,93.335
213,H100,CUDA Explicit Memory,103,1,1,1024,2,float,139.5,0.756073,0.00302429,99.1
214,H100,CUDA Explicit Memory,111,1,1,1024,2,float,139.551,0.814496,0.00325798,106.758
215,H100,CUDA Explicit Memory,119,1,1,1024,2,float,139.499,0.873527,0.00349411,114.495
216,H100,CUDA Explicit Memory,128,1,1,1024,2,float,139.544,0.939285,0.00375714,123.114
217,H100,CUDA Explicit Memory,137,1,1,1024,2,float,173.774,0.807303,0.00322921,105.815
218,H100,CUDA Explicit Memory,147,1,1,1024,2,float,173.808,0.86606,0.00346424,113.516
219,H100,CUDA Explicit Memory,157,1,1,1024,2,float,173.748,0.925295,0.00370118,121.28
220,H100,CUDA Explicit Memory,168,1,1,1024,2,float,173.881,0.989364,0.00395746,129.678
221,H100,CUDA Explicit Memory,181,1,1,1024,2,float,173.861,1.06605,0.0042642,139.729
