,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
134,A100-SXM4-80GB,CUDA Explicit Memory,70239,1,1,1024,2,double,1,1154.27,62.312,0.498496,8167.36
135,A100-SXM4-80GB,CUDA Explicit Memory,75281,1,1,1024,2,double,1,1154.43,66.7754,0.534203,8752.38
136,A100-SXM4-80GB,CUDA Explicit Memory,80684,1,1,1024,2,double,1,1153.93,71.5994,0.572795,9384.67
137,A100-SXM4-80GB,CUDA Explicit Memory,86475,1,1,1024,2,double,1,1537.02,57.6117,0.460894,7551.28
138,A100-SXM4-80GB,CUDA Explicit Memory,92681,1,1,1024,2,double,1,1537.23,61.7379,0.493903,8092.11
139,A100-SXM4-80GB,CUDA Explicit Memory,99334,1,1,1024,2,double,1,1537.38,66.1634,0.529307,8672.17
140,A100-SXM4-80GB,CUDA Explicit Memory,106463,1,1,1024,2,double,1,1537.67,70.8983,0.567186,9292.78
141,A100-SXM4-80GB,CUDA Explicit Memory,114104,1,1,1024,2,double,1,1919.14,60.8827,0.487061,7980.01
142,A100-SXM4-80GB,CUDA Explicit Memory,122294,1,1,1024,2,double,1,1921.14,65.1847,0.521477,8543.88
143,A100-SXM4-80GB,CUDA Explicit Memory,131072,1,1,1024,2,double,1,1920.71,69.8791,0.559033,9159.19
144,A100-SXM4-80GB,CUDA Explicit Memory,140479,1,1,1024,2,double,1,2302.29,62.4816,0.499853,8189.59
145,A100-SXM4-80GB,CUDA Explicit Memory,150562,1,1,1024,2,double,1,2303.32,66.9363,0.53549,8773.47
146,A100-SXM4-80GB,CUDA Explicit Memory,161368,1,1,1024,2,double,1,2304.3,71.7099,0.573679,9399.16
147,A100-SXM4-80GB,CUDA Explicit Memory,172950,1,1,1024,2,double,1,2685.76,65.9406,0.527525,8642.96
148,A100-SXM4-80GB,CUDA Explicit Memory,185363,1,1,1024,2,double,1,2685.78,70.6728,0.565382,9263.22
149,A100-SXM4-80GB,CUDA Explicit Memory,198668,1,1,1024,2,double,1,3068.45,66.2993,0.530394,8689.98
150,A100-SXM4-80GB,CUDA Explicit Memory,212927,1,1,1024,2,double,1,3068.7,71.052,0.568416,9312.92
151,A100-SXM4-80GB,CUDA Explicit Memory,228209,1,1,1024,2,double,1,3437.82,67.9751,0.543801,8909.64
152,A100-SXM4-80GB,CUDA Explicit Memory,244589,1,1,1024,2,double,1,3445.52,72.6912,0.58153,9527.79
153,A100-SXM4-80GB,CUDA Explicit Memory,262144,1,1,1024,2,double,1,3820.55,70.261,0.562088,9209.25
154,A100-SXM4-80GB,CUDA Explicit Memory,280958,1,1,1024,2,double,1,4200.58,68.4907,0.547926,8977.21
155,A100-SXM4-80GB,CUDA Explicit Memory,301124,1,1,1024,2,double,1,4214.38,73.1663,0.585331,9590.06
156,A100-SXM4-80GB,CUDA Explicit Memory,322737,1,1,1024,2,double,1,4585.75,72.0673,0.576539,9446.01
157,A100-SXM4-80GB,CUDA Explicit Memory,345901,1,1,1024,2,double,1,4965.09,71.3386,0.570709,9350.49
158,A100-SXM4-80GB,CUDA Explicit Memory,370727,1,1,1024,2,double,1,5345.56,71.0168,0.568134,9308.31
159,A100-SXM4-80GB,CUDA Explicit Memory,397336,1,1,1024,2,double,1,5726.65,71.0489,0.568391,9312.52
160,A100-SXM4-80GB,CUDA Explicit Memory,425854,1,1,1024,2,double,1,6107.4,71.401,0.571208,9358.68
161,A100-SXM4-80GB,CUDA Explicit Memory,456419,1,1,1024,2,double,1,6493.08,71.9802,0.575842,9434.59
162,A100-SXM4-80GB,CUDA Explicit Memory,489178,1,1,1024,2,double,1,6875.5,72.8556,0.582845,9549.33
163,A100-SXM4-80GB,CUDA Explicit Memory,524288,1,1,512,2,double,1,3640.52,73.7354,0.589883,9664.65
164,A100-SXM4-80GB,CUDA Explicit Memory,561917,1,1,512,2,double,1,4007.69,71.7873,0.574298,9409.3
165,A100-SXM4-80GB,CUDA Explicit Memory,602248,1,1,512,2,double,1,4206.21,73.3084,0.586468,9608.68
166,A100-SXM4-80GB,CUDA Explicit Memory,645474,1,1,512,2,double,1,4579.64,72.1635,0.577308,9458.62
167,A100-SXM4-80GB,CUDA Explicit Memory,691802,1,1,512,2,double,1,4958.57,71.4324,0.571459,9362.79
168,A100-SXM4-80GB,CUDA Explicit Memory,741455,1,1,512,2,double,1,5160.77,73.5597,0.588478,9641.62
169,A100-SXM4-80GB,CUDA Explicit Memory,794672,1,1,512,2,double,1,5546.26,73.3597,0.586878,9615.4
170,A100-SXM4-80GB,CUDA Explicit Memory,851708,1,1,512,2,double,1,5925.09,73.598,0.588784,9646.63
171,A100-SXM4-80GB,CUDA Explicit Memory,912838,1,1,512,2,double,1,6483.04,72.0916,0.576733,9449.19
172,A100-SXM4-80GB,CUDA Explicit Memory,978356,1,1,512,2,double,1,6866.27,72.9535,0.583628,9562.16
173,A100-SXM4-80GB,CUDA Explicit Memory,1048576,1,1,128,2,double,1,1818.13,73.8217,0.590574,9675.96
174,A100-SXM4-80GB,CUDA Explicit Memory,2,1,1,1024,2,double,2,290.304,0.00705467,5.64374e-05,0.92467
175,A100-SXM4-80GB,CUDA Explicit Memory,3,1,1,1024,2,double,2,290.276,0.010583,8.46642e-05,1.38714
176,A100-SXM4-80GB,CUDA Explicit Memory,4,1,1,1024,2,double,2,290.356,0.0141068,0.000112854,1.84901
177,A100-SXM4-80GB,CUDA Explicit Memory,5,1,1,1024,2,double,2,290.295,0.0176373,0.000141098,2.31175
178,A100-SXM4-80GB,CUDA Explicit Memory,6,1,1,1024,2,double,2,290.279,0.0211659,0.000169327,2.77425
179,A100-SXM4-80GB,CUDA Explicit Memory,7,1,1,1024,2,double,2,290.349,0.0246875,0.0001975,3.23584
180,A100-SXM4-80GB,CUDA Explicit Memory,8,1,1,1024,2,double,2,290.283,0.0282207,0.000225766,3.69895
181,A100-SXM4-80GB,CUDA Explicit Memory,9,1,1,1024,2,double,2,290.433,0.031732,0.000253856,4.15917
182,A100-SXM4-80GB,CUDA Explicit Memory,10,1,1,1024,2,double,2,290.369,0.0352655,0.000282124,4.62232
183,A100-SXM4-80GB,CUDA Explicit Memory,11,1,1,1024,2,double,2,290.319,0.0387987,0.000310389,5.08542
184,A100-SXM4-80GB,CUDA Explicit Memory,12,1,1,1024,2,double,2,290.338,0.042323,0.000338584,5.54736
185,A100-SXM4-80GB,CUDA Explicit Memory,13,1,1,1024,2,double,2,290.367,0.0458455,0.000366764,6.00906
186,A100-SXM4-80GB,CUDA Explicit Memory,14,1,1,1024,2,double,2,290.367,0.049372,0.000394976,6.47129
187,A100-SXM4-80GB,CUDA Explicit Memory,16,1,1,1024,2,double,2,290.382,0.0564223,0.000451378,7.39538
