,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride_read,stride_write,time,mlups,bandwidth,compute
221,A40,CUDA Explicit Memory,29210829,1,1,2,2,double,1,1,1.44772,40354.2,645.667,40.3542
222,A40,CUDA Explicit Memory,31307392,1,1,2,2,double,1,1,1.54851,40435.4,646.967,40.4354
223,A40,CUDA Explicit Memory,33554432,1,1,2,2,double,1,1,1.65786,40479.2,647.667,40.4792
224,A40,CUDA Explicit Memory,35962749,1,1,2,2,double,1,1,1.78186,40365.3,645.845,40.3653
225,A40,CUDA Explicit Memory,38543920,1,1,2,2,double,1,1,1.90693,40425.1,646.802,40.4251
226,A40,CUDA Explicit Memory,41310351,1,1,2,2,double,1,1,2.04229,40455.0,647.28,40.455
227,A40,CUDA Explicit Memory,44275338,1,1,2,2,double,1,1,2.19297,40379.3,646.069,40.3793
228,A40,CUDA Explicit Memory,47453132,1,1,2,2,double,1,1,2.34422,40485.3,647.765,40.4853
229,A40,CUDA Explicit Memory,50859008,1,1,2,2,double,1,1,2.52053,40355.8,645.693,40.3558
230,A40,CUDA Explicit Memory,54509335,1,1,2,2,double,1,1,2.6865,40580.2,649.282,40.5802
231,A40,CUDA Explicit Memory,58421659,1,1,2,2,double,1,1,2.88731,40467.9,647.486,40.4679
232,A40,CUDA Explicit Memory,62614784,1,1,2,2,double,1,1,3.09429,40471.2,647.538,40.4712
233,A40,CUDA Explicit Memory,67108864,1,1,2,2,double,1,1,3.30905,40560.8,648.973,40.5608
234,A40,CUDA Explicit Memory,2,1,1,1024,2,double,1,2,2.28419,0.896597,0.0143456,0.000896597
235,A40,CUDA Explicit Memory,3,1,1,1024,2,double,1,2,2.29288,1.3398,0.0214368,0.0013398
236,A40,CUDA Explicit Memory,4,1,1,1024,2,double,1,2,2.3021,1.77925,0.028468,0.00177925
237,A40,CUDA Explicit Memory,5,1,1,1024,2,double,1,2,2.32163,2.20535,0.0352855,0.00220535
238,A40,CUDA Explicit Memory,6,1,1,1024,2,double,1,2,2.31315,2.65612,0.0424979,0.00265612
239,A40,CUDA Explicit Memory,7,1,1,1024,2,double,1,2,2.27553,3.15004,0.0504007,0.00315004
240,A40,CUDA Explicit Memory,8,1,1,1024,2,double,1,2,2.29228,3.57374,0.0571798,0.00357374
241,A40,CUDA Explicit Memory,9,1,1,1024,2,double,1,2,2.27654,4.04825,0.064772,0.00404825
242,A40,CUDA Explicit Memory,10,1,1,1024,2,double,1,2,2.30175,4.44878,0.0711805,0.00444878
243,A40,CUDA Explicit Memory,11,1,1,1024,2,double,1,2,2.27978,4.94082,0.0790531,0.00494082
244,A40,CUDA Explicit Memory,12,1,1,1024,2,double,1,2,2.29171,5.36194,0.0857911,0.00536194
245,A40,CUDA Explicit Memory,13,1,1,1024,2,double,1,2,2.28784,5.81859,0.0930975,0.00581859
246,A40,CUDA Explicit Memory,14,1,1,1024,2,double,1,2,2.28115,6.28456,0.100553,0.00628456
247,A40,CUDA Explicit Memory,16,1,1,1024,2,double,1,2,2.27745,7.19401,0.115104,0.00719401
248,A40,CUDA Explicit Memory,17,1,1,1024,2,double,1,2,2.29389,7.58885,0.121422,0.00758885
249,A40,CUDA Explicit Memory,18,1,1,1024,2,double,1,2,2.32014,7.94435,0.12711,0.00794435
250,A40,CUDA Explicit Memory,19,1,1,1024,2,double,1,2,2.2879,8.50387,0.136062,0.00850387
251,A40,CUDA Explicit Memory,21,1,1,1024,2,double,1,2,2.30217,9.34077,0.149452,0.00934077
